# ----------------------------------------
# chohama-main
# chohama-Weekly-report-自由形式 1
# 20260613-20260620
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率
,,,249,235,497,10.381625441696112,0.7526501766784452,226,212,427,9.9375,0.76953125,161,152,276,3.8624338624338623,0.7777777777777778,86,82,217,24.263736263736263,0.7032967032967034,総計
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners/,new,51,51,55,0,0.9622641509433962,48,48,52,0,0.96,38,38,41,0,0.975,13,13,14,0,0.9230769230769231
浜名湖のマダコ釣り6月開幕｜初心者でも数釣りが狙える堤防ポイント | 釣！浜名湖,/blog/june-tako-opening/,new,33,33,36,0,0.9444444444444444,32,32,35,0,0.9428571428571428,29,29,32,0,0.9375,4,4,4,0,1
浜名湖でおすすめのウェーディングポイント10選と注意点 | 釣！浜名湖,/points/wading-points/,new,6,6,13,0,0.5555555555555556,6,6,13,0,0.5555555555555556,5,5,12,0,0.5,1,1,1,0,1
【浜名湖のエサ自販機ガイド】深夜・早朝の強い味方！設置場所まとめ | 釣！浜名湖,/blog/bait-vending-machines/,new,5,5,6,18.4,0.6,5,5,6,18.4,0.6,4,4,4,21,0.75,1,1,2,8,0
【浜名湖発祥】伝統の弁天流し釣り完全ガイド｜激流を攻略する秘策 | 釣！浜名湖,/blog/benten-nagashi-fishing/,new,5,5,5,8.6,0.8,5,5,5,8.6,0.8,4,4,4,0,1,1,1,1,43,0
【5月の浜名湖】GWから始めるキス釣り！数釣りの鉄板ポイント5選 | 釣！浜名湖,/blog/may-fishing/,new,5,5,6,24.8,0.2,4,4,5,0,0.25,3,3,4,41.333333333333336,0,2,2,2,0,0.5
7月の浜名湖釣り完全ガイド｜夏休みファミリーサビキとハゼ釣りの黄金期 | 釣！浜名湖,/blog/7-month/,new,5,4,5,0,1,5,4,5,0,1,4,3,4,0,1,1,1,1,0,1
【キス実績ポイント】浜名湖から遠州灘まで。白砂の女王が群れる場所 | 釣！浜名湖,/blog/kisu-points/,new,4,4,6,4.6,0.4,4,4,6,4.6,0.4,3,3,5,5.75,0.25,1,1,1,0,1
【浜名湖攻略】カヤックフィッシング完全ガイド｜激流を避けて大物を狙う | 釣！浜名湖,/blog/hamanako-kayak-fishing/,new,4,4,8,0,0.6666666666666666,4,4,8,0,0.6666666666666666,2,2,6,0,0.5,2,2,2,0,1
【浜名湖釣りカレンダー】春夏秋冬のターゲットと水温・潮回り攻略ガイド | 釣！浜名湖,/blog/yearly-fishing-calendar/,new,4,4,4,13.25,0.25,4,4,4,13.25,0.25,3,3,3,17.666666666666668,0,1,1,1,0,1
夜の浜名湖を遊び尽くす！伝統漁法「たきや漁」と「えびすき漁」完全ガイド | 釣！浜名湖,/blog/travel/hamanako-traditional-fishing-guide/,new,4,4,4,0,1,4,4,4,0,1,0,0,0,0,0,4,4,4,0,1
