# ----------------------------------------
# chohama-main
# chohama-Weekly-report-自由形式 1
# 20260620-20260627
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率
,,,223,213,393,13.85483870967742,0.7862903225806451,197,189,319,14.582568807339449,0.7844036697247706,128,122,226,13.503401360544217,0.782312925170068,95,91,165,14.366336633663366,0.7722772277227723,総計
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners/,new,34,34,34,0,0.9705882352941176,33,33,33,0,0.9696969696969697,27,27,27,0,1,7,7,7,0,0.8571428571428571
浜名湖のマダコ釣り6月開幕｜初心者でも数釣りが狙える堤防ポイント | 釣！浜名湖,/blog/june-tako-opening/,new,32,31,37,20.88235294117647,0.9117647058823529,28,27,33,23.666666666666668,0.9,18,17,20,35.5,0.95,14,14,17,0,0.8571428571428571
7月の浜名湖釣り完全ガイド｜夏休みファミリーサビキとハゼ釣りの黄金期 | 釣！浜名湖,/blog/7-month/,new,8,8,9,0,0.875,8,8,9,0,0.875,3,3,4,0,0.6666666666666666,5,5,5,0,1
浜名湖釣りポイントマップ | 釣！浜名湖,/map/,new,8,8,9,0,0.375,8,8,9,0,0.375,3,3,3,0,0.3333333333333333,5,5,6,0,0.4
雨でも釣れる！梅雨の浜名湖釣り場ガイド｜雷・増水リスクを避けて安全に楽しむ | 釣！浜名湖,/blog/guide/beginner/hamanako-rainy-day-fishing/,new,6,6,6,21.666666666666668,0.6666666666666666,6,6,6,21.666666666666668,0.6666666666666666,5,5,5,26,0.8,1,1,1,0,0
浜名湖釣りガイド | 釣！浜名湖,/,new,7,7,7,0,0.8571428571428571,2,2,2,0,0.5,6,6,6,0,0.8333333333333334,1,1,1,0,1
夜の浜名湖を遊び尽くす！伝統漁法「たきや漁」と「えびすき漁」完全ガイド | 釣！浜名湖,/blog/travel/hamanako-traditional-fishing-guide/,new,5,5,5,0,1,5,5,5,0,1,0,0,0,0,0,5,5,5,0,1
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinutop-july/,new,5,5,7,54.166666666666664,0.5,4,4,5,65,0.6,4,4,5,65,0.4,2,2,2,0,0.5
【浜名湖攻略】カヤックフィッシング完全ガイド｜激流を避けて大物を狙う | 釣！浜名湖,/blog/hamanako-kayak-fishing/,new,5,5,6,0,0.4,4,4,4,0,0.5,2,2,2,0,1,3,3,4,0,0
【キス実績ポイント】浜名湖から遠州灘まで。白砂の女王が群れる場所 | 釣！浜名湖,/blog/kisu-points/,new,4,4,4,0,0.75,4,4,4,0,0.75,0,0,0,0,0,4,4,4,0,0.75
【浜名湖釣りカレンダー】春夏秋冬のターゲットと水温・潮回り攻略ガイド | 釣！浜名湖,/blog/yearly-fishing-calendar/,new,4,4,4,12.25,0.75,4,4,4,12.25,0.75,3,3,3,16.333333333333332,0.6666666666666666,1,1,1,0,1
新居弁天海釣公園（表浜名湖）の釣りポイント完全解説｜T字堤防が織りなす「サビキ釣りの聖地」 | 釣！浜名湖,/points/araibenten-umiduripark/,new,4,4,6,0,0.6,4,4,6,0,0.6,2,2,4,0,0.6666666666666666,2,2,2,0,0.5
